,ID,xmin,ymin,xmax,ymax,Text,,label
17,7ea453e0-2d42-4c7b-a43c-18466899c3e1,0.63744545,0.516479671,0.715739667,0.526909232,Unit Cost ,,o
18,30b7e9ef-ec6f-4ade-bd8a-c5526a5a198b,0.741815031,0.516752005,0.814488292,0.529260695,Quantity ,,o
19,b38e24db-b0c0-406a-9bee-3bf6fb02fe54,0.854669154,0.516519248,0.898590922,0.526875257,Price ,,o
20,21ab1907-3636-49c1-bd34-69a6fddfb69a,0.063068829,0.541422606,0.2436122,0.553640783,Intelligent Frozen Towels ,,o
21,98a19992-a5ee-45ca-b51d-9ace702fb991,0.274242759,0.540914595,0.586135149,0.553689122,Andy shoes are designed to keeping in mind ,,o
22,0d55e10a-26c1-4ba2-b0ae-bf5ff45c533b,0.630149007,0.542559266,0.68964994,0.553583741,$447.00 ,,o
23,e9d0776a-8e4e-488a-a7a0-b41550e73284,0.734404683,0.542457402,0.777083933,0.553490877,37637,,o
24,c42965f6-4b25-4e15-a872-a793842a0d22,0.832906723,0.541239977,0.879545093,0.553510308,86380,,o
25,9fec19e4-e75d-4316-8916-9afa711b224d,0.274363548,0.556384802,0.583285272,0.568951488,durability as well as trends the most stylish ,,o
26,6918cce3-091e-4796-b4c0-a26b5991c574,0.274894774,0.572109103,0.448384136,0.584934056,range of shoes & sandais ,,o
27,e6fed1a4-29d2-436f-978a-f71f05eafc95,0.063248195,0.596232414,0.220240146,0.606694877,Handmade Soft Shoes ,,o
28,ba612324-193e-44bf-a662-ef3cc18ca014,0.274299473,0.59611541,0.60328716,0.609639525,The beautiful range of Apple Naturalé that has ,,o
29,0a4725e8-3e12-4968-b873-a8e7ebfe09e6,0.630463302,0.59770453,0.689458549,0.609590769,$150.00 ,,o
30,aa2f2ccb-0029-4d4f-891b-46d6d05e24ab,0.734383166,0.597534299,0.776827335,0.609457254,17879,,o
31,2caf67a2-8bf2-46d2-a231-8dc94e149799,0.833178937,0.597244799,0.894745886,0.609663725,$650.00 ,,o
32,8e9108ac-1720-4495-b2bc-d3c795c7eb80,0.275399297,0.61207056,0.610914707,0.625094056,an exciting mix of natural ingredients. With the ,,o
33,24a5e9c7-becc-40b4-b611-11a88d01d9ec,0.275320023,0.627969623,0.550032377,0.638480365,Goodness of 100% Natural Ingredients ,,o
34,7c87dfb4-7a1c-4b83-bae2-70b9c7cf3dbe,0.762614965,0.656748354,0.82336092,0.667305827,Subtotal ,,o
35,1eb3fa74-c529-4fe7-8e9e-f10b2ddab0dc,0.840099454,0.657468915,0.900346518,0.669193923,$748.00 ,,o
36,ab6415ba-0578-4798-8199-152b048f7718,0.785594642,0.68988055,0.823164344,0.700493813,Total ,,o
37,2275e6ff-212a-4b2e-8dde-ba8daf6bf9a9,0.840247095,0.690502763,0.899176002,0.700687468,$162.00 ,,total
38,14a23432-58df-483b-bf5e-786863121958,0.72838527,0.724090338,0.823755682,0.734004259,Amount Paid ,,o
39,dbaed0f0-011f-4810-aa88-161c008f45d3,0.840753794,0.723975062,0.902096272,0.736342251,S983.00 ,,o
40,ee05cca8-19ff-4353-8011-08e1d733ffc0,0.735383868,0.756621063,0.82419318,0.766860545,Balance Due ,,o
41,7b0b4398-1f1a-4a46-9054-8e68efae561d,0.841249049,0.757561624,0.898958683,0.769000649,$513.00 ,,o
42,dfe30bcd-b0da-46fd-b180-7cac29cd9e2a,0.438691914,0.796821892,0.490798533,0.806637943,TERMS ,,o
43,981737dd-b66e-4e27-87d7-895a65858d0f,0.193240508,0.823278546,0.795051277,0.836458683,NET 30 Days. Finance Charge of 1.5? wril be made on unpaid balances after 30 davs.,,o
,,,,,,,,o
